Country Code,Country Name,Year,Metals_GDP_Norm,Oil_GDP_Norm,Natural Gas_GDP_Norm,Coal_GDP_Norm,Economic Complexity Index,Human capital index,Cluster,Cluster_Name,PC1,PC2
ALB,Albania,1995,0.08171374774027708,0.0,0.0,0.03292635277038686,-0.473,2.514031887,1,Low-Income Diversified,-0.19551789572083225,-0.12781370071877696
DZA,Algeria,1995,0.0023191445554244135,3.6554871449799133,1.6201877593508587,0.0,-0.532,1.714343071,1,Low-Income Diversified,-0.8318241066102202,2.038253352493932
AGO,Angola,1995,0.0,7.9209929590163695,0.0,0.0,-1.914,1.214911699,0,Petrostates,-2.541650327899673,2.201935244067345
ARG,Argentina,1995,0.07332886982408314,0.8983159936490067,0.2721042792593453,0.002287652085916891,0.211,2.619534492,2,Advanced Economies,0.37393608363985203,0.17474151919081923
ARM,Armenia,1995,0.30481754589988413,0.0,0.0,0.011510166238694934,0.1049999999999999,3.021299601,2,Advanced Economies,0.604571796062507,-0.3347494492057573
AUS,Australia,1995,1.974241264187805,0.6854804445247145,0.330819456942712,1.862677433381252,0.57,3.474270582,2,Advanced Economies,0.6246809925138246,-1.8493867372466788
AUT,Austria,1995,0.0417571505244584,0.0,0.0,0.0177144395746035,2.005,3.040141344,2,Advanced Economies,1.9440247089486322,-0.5668670561947141
AZE,Azerbaijan,1995,0.09201477299188807,5.538796856243939,1.8206362012452841,0.0,-0.147,2.917089060144105,0,Petrostates,0.4861760535910057,2.3202811523935227
BHR,Bahrain,1995,3.508588575205137,0.0,1.9697957870088187,0.0,-0.411,2.236903191,4,Mining-Dependent,-0.9817619171192826,0.5937012737800638
BGD,Bangladesh,1995,0.0,0.0,0.17738035172750075,0.0,-0.972,1.554713607,1,Low-Income Diversified,-1.3620298171073089,0.28478469723973676
BOL,Bolivia,1995,1.5033051471341434,0.0,0.5182224799717224,0.0,-0.565,2.322422504,1,Low-Income Diversified,-0.7069787501651368,0.010517623679394952
BIH,Bosnia and Herzegovina,1995,0.011058453484249522,0.0,0.0,0.4413557095690335,0.222,2.553949696346395,2,Advanced Economies,0.2480221033658226,-0.5327759754822892
