zone_id,zone_name,borough,latitude,longitude
1,Newark Airport,EWR,40.691831206401496,-74.17400027276294
2,Jamaica Bay,Queens,40.616745291659896,-73.83129854302213
3,Allerton/Pelham Gardens,Bronx,40.86447368477547,-73.84742223236717
4,Alphabet City,Manhattan,40.723752141584804,-73.97696825691767
5,Arden Heights,Staten Island,40.55265928694566,-74.18848410184928
6,Arrochar/Fort Wadsworth,Staten Island,40.60032414603462,-74.0717705589513
7,Astoria,Queens,40.761492562163745,-73.9196943194607
8,Astoria Park,Queens,40.778558653750714,-73.92308615750753
9,Auburndale,Queens,40.75103502557235,-73.78794887777896
10,Baisley Park,Queens,40.678953310115254,-73.79098635986956
11,Bath Beach,Brooklyn,40.60427284003077,-74.00748815801174
12,Battery Park,Manhattan,40.70294583498472,-74.01556351255898
13,Battery Park City,Manhattan,40.71203815707448,-74.01607915192925
14,Bay Ridge,Brooklyn,40.62483492360826,-74.02989237418791
15,Bay Terrace/Fort Totten,Queens,40.783333047260946,-73.78597227877704
16,Bayside,Queens,40.762738375442396,-73.77342181890137
17,Bedford,Brooklyn,40.69150749488067,-73.9499050350751
18,Bedford Park,Bronx,40.86768245607543,-73.89018328872037
19,Bellerose,Queens,40.73548677976332,-73.726655375287
20,Belmont,Bronx,40.85777967544156,-73.88586748106962
21,Bensonhurst East,Brooklyn,40.601429439835144,-73.98353709672226
22,Bensonhurst West,Brooklyn,40.61221825780564,-73.99525857986235
23,Bloomfield/Emerson Hill,Staten Island,40.60644770102762,-74.17088688155258
24,Bloomingdale,Manhattan,40.80197049389963,-73.96547951516966
25,Boerum Hill,Brooklyn,40.68563374132065,-73.98611382213666
26,Borough Park,Brooklyn,40.630949655245466,-73.9886612307829
27,Breezy Point/Fort Tilden/Riis Beach,Queens,40.559133279467545,-73.90690832237583
28,Briarwood/Jamaica Hills,Queens,40.711596357945105,-73.80872901637515
29,Brighton Beach,Brooklyn,40.58092197193379,-73.9612167686685
30,Broad Channel,Queens,40.60368744213566,-73.82192695679406
31,Bronx Park,Bronx,40.8577466809159,-73.87547595053036
32,Bronxdale,Bronx,40.86400220602362,-73.86490099876723
33,Brooklyn Heights,Brooklyn,40.69579822121127,-73.99525011996627
34,Brooklyn Navy Yard,Brooklyn,40.70085573851716,-73.97118869233039
35,Brownsville,Brooklyn,40.66400311792597,-73.91025783136133
36,Bushwick North,Brooklyn,40.700522199519206,-73.91771053131582
37,Bushwick South,Brooklyn,40.694994318442134,-73.92224002165723
38,Cambria Heights,Queens,40.6943414672317,-73.73555427058818
39,Canarsie,Brooklyn,40.638037139117074,-73.8997349566939
40,Carroll Gardens,Brooklyn,40.6791990140971,-73.99595619089148
41,Central Harlem,Manhattan,40.80433394979462,-73.9512920024351
42,Central Harlem North,Manhattan,40.818257861119235,-73.94077166756267
43,Central Park,Manhattan,40.78247809974789,-73.96555356545912
44,Charleston/Tottenville,Staten Island,40.5254945817638,-74.23353354937646
45,Chinatown,Manhattan,40.71245931177953,-73.99815149899052
46,City Island,Bronx,40.84908594313967,-73.78198714613218
47,Claremont/Bathgate,Bronx,40.842749176098025,-73.90031590586491
48,Clinton East,Manhattan,40.76225275531937,-73.98984464313303
49,Clinton Hill,Brooklyn,40.68796745714746,-73.96236353818358
50,Clinton West,Manhattan,40.76623772504189,-73.99513522075517
51,Co-Op City,Bronx,40.87397305492027,-73.82826367307186
52,Cobble Hill,Brooklyn,40.68665124165607,-73.99672403175195
